Company Name,Industry,Symbol,Series,ISIN Code,Proper,,Lower,
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,Britannia,,britannia,
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,Cholafin,,cholafin,
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Cipla,,cipla,
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,Coalindia,,coalindia,
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,Colpal,,colpal,
DLF Ltd.,Realty,DLF,EQ,INE271C01023,Dlf,,dlf,
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,Dabur,,dabur,
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,Divislab,,divislab,
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023,Drreddy,,drreddy,
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Eichermot,,eichermot,
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,Nykaa,,nykaa,
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,Gail,,gail,
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,Gland,,gland,
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,Godrejcp,,godrejcp,
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,Grasim,,grasim,
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,Hcltech,,hcltech,
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,Hdfcamc,,hdfcamc,
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,Hdfcbank,,hdfcbank,
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,Hdfclife,,hdfclife,
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,Havells,,havells,
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,Heromotoco,,heromotoco,
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,Hindalco,,hindalco,
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012,Hal,,hal,
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,Hindunilvr,,hindunilvr,
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,INE001A01036,Hdfc,,hdfc,
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,Icicibank,,icicibank,
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,Icicigi,,icicigi,
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,Icicipruli,,icicipruli,
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,Itc,,itc,
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,Ioc,,ioc,
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,Irctc,,irctc,2
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,Industower,,industower,
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,Indusindbk,,indusindbk,
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,Naukri,,naukri,
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,Infy,,infy,2
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,Indigo,,indigo,
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,Jswsteel,,jswsteel,
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,Kotakbank,,kotakbank,
Larsen & Toubro Infotech Ltd.,Information Technology,LTI,EQ,INE214T01019,Lti,,lti,
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,Lt,,lt,
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,Lici,,lici,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,M&M,,m&m,
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,Marico,,marico,
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,Maruti,,maruti,
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,Mphasis,,mphasis,
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,Muthootfin,,muthootfin,
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,Ntpc,,ntpc,
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,Nestleind,,nestleind,
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,Ongc,,ongc,
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,Paytm,,paytm,
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,Piind,,piind,
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,Pidilitind,,pidilitind,
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,Powergrid,,powergrid,
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,Pghh,,pghh,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,Reliance,,reliance,
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,Sbicard,,sbicard,
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,Sbilife,,sbilife,
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,Srf,,srf,
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,Motherson,,motherson,
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,Shreecem,,shreecem,
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,Siemens,,siemens,
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,Sbin,,sbin,
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,Sunpharma,,sunpharma,
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,Tcs,,tcs,
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,Tataconsum,,tataconsum,
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,Tatamotors,,tatamotors,
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,Tatapower,,tatapower,
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,Tatasteel,,tatasteel,
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,Techm,,techm,
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Titan,,titan,
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,Torntpharm,,torntpharm,
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,Upl,,upl,
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,Ultracemco,,ultracemco,
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,INE854D01024,Mcdowell-N,,mcdowell-n,
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,Vedl,,vedl,
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,Wipro,1,wipro,
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,Zomato,,zomato,2
